energy_kev,s2_bin_0,s2_bin_1,s2_bin_2,s2_bin_3,s2_bin_4,s2_bin_5,s2_bin_6
1.6,0.014824195821790792,0.04795978611937226,0.02875463970334292,0.010267914857010904,0.002580291421781189,0.0005362339904993657,0.00012732032061218979
1.7,0.01357323481222518,0.047971941873993895,0.03237972260645213,0.012967814651837415,0.0036321332518190223,0.0008081330205768316,0.0001823986450827042
1.8,0.012180725527906475,0.04696705896030844,0.03546601348386298,0.015868231810990018,0.004933617603015311,0.0011976721752184395,0.000257448697624843
1.9,0.01081021526668672,0.04517677723872187,0.03787039850160302,0.01880953679039549,0.006454578857883225,0.001687663420451252,0.0003658156953042807
2.0,0.009447324562621737,0.04277842659022989,0.03961891972626689,0.021706710720334754,0.008191306014343527,0.002322823310725661,0.0005199353601157447
2.1,0.008188565459376587,0.039930813309419166,0.04064158726783455,0.024438668137090926,0.010110641663370099,0.0031111331586533538,0.0007243598676800634
2.2,0.006990346716701993,0.0367529847067398,0.040999101049852375,0.026962099978715313,0.012191536244490134,0.00405723848292828,0.0009898364291333506
2.3,0.005942561111565829,0.03349763338805378,0.04064034403433677,0.029095382342536624,0.01428835021448554,0.005141577507443993,0.0013243109308468891
2.4,0.005018240129132267,0.0302530384002477,0.039747442772800276,0.030846917787881047,0.016391094647196548,0.006354439223105901,0.001729600299014361
2.5,0.0041982626782196735,0.027019729240573054,0.03837394654803745,0.03220300774829937,0.018469371729895507,0.007704549816292488,0.002222318918951649
2.6,0.003499733161427375,0.02391806642372549,0.036593386751067575,0.033088649072343754,0.02044319150609139,0.009142190340941483,0.002789170922282819
2.7,0.002889360277911423,0.021059955925358535,0.03453066595963652,0.03355110539056355,0.022225786013942934,0.010654227850872194,0.0034424024858330377
2.8,0.0023800852310448877,0.018409065467876788,0.03230404620685394,0.03356466420301132,0.023833705689160246,0.012188968487414017,0.004155293807233928
2.9,0.001950595780599117,0.01597838429830253,0.02992292129843648,0.033200406274764435,0.025184245782204844,0.0137256691709732,0.004938439262977578
3.0,0.0016020138892084358,0.013788268216473457,0.027495989300786217,0.03248942904036275,0.026264928022105078,0.01521718568524943,0.005764303522619316
3.1,0.0013021493715411427,0.011835430919721127,0.025078199391598686,0.03153244913995196,0.027039237463752037,0.016617139483115554,0.006641680348353651
3.2,0.0010569456915289167,0.010103552355950474,0.02269752141257108,0.030243108720922958,0.02755482517329454,0.017943936180050222,0.007550468005501821
